,mw_u,mw_p,ks_stat,ks_p,t_stat,t_p,horizon,comparison,symbol
578,231.0,0.4623399312593228,0.2074074074074074,0.7172936030057026,0.5461039854064543,0.5882094190618493,5,ma_crossover_vs_random,WAB
579,153.0,0.19830171565467758,0.26666666666666666,0.4229489572346633,-1.218444528640304,0.23223263529997334,20,double_top_vs_ma_crossover,WAB
580,78.0,0.15832567276280263,0.3333333333333333,0.3855465198257425,-1.6775982138852736,0.10535443582675562,20,double_top_vs_random,WAB
581,202.0,1.0,0.16296296296296298,0.9181631695996642,-0.48889741749282395,0.6277531633048602,20,ma_crossover_vs_random,WAB
582,162.0,0.293659900749648,0.2740740740740741,0.38762957194941794,-0.9407249030413347,0.3549975474043656,60,double_top_vs_ma_crossover,WAB
583,71.0,0.08891133956993066,0.4,0.18441617684449832,-1.8888429423534134,0.06949319958480642,60,double_top_vs_random,WAB
584,165.0,0.3314242729453034,0.2222222222222222,0.652171030254102,-1.2115572853710117,0.2348537980237304,60,ma_crossover_vs_random,WAB
585,220.0,0.5169484112442719,0.2846153846153846,0.3687939246717655,0.5384613226113596,0.596120286687358,5,double_top_vs_ma_crossover,WAT
586,125.0,0.04006893732889206,0.46153846153846156,0.12648770263254042,2.3339109214045495,0.028468013889201813,5,double_top_vs_random,WAT
587,284.0,0.019267221265955932,0.44871794871794873,0.034447825963920264,2.371985767336904,0.026513623048703052,5,ma_crossover_vs_random,WAT
588,202.0,0.8634899230070756,0.15897435897435896,0.9410802130872107,-0.07368410937065446,0.9417858477978642,20,double_top_vs_ma_crossover,WAT
589,97.0,0.5379530892867737,0.23076923076923078,0.8978057035171046,0.5621847267235343,0.5792533537656661,20,double_top_vs_random,WAT
590,207.0,0.7610445577648876,0.16666666666666666,0.9159512401156106,0.70167048338072,0.48815790567883877,20,ma_crossover_vs_random,WAT
591,217.0,0.5695579572689502,0.2692307692307692,0.440731244145399,0.16198465263864217,0.872480273576997,60,double_top_vs_ma_crossover,WAT
592,93.0,0.6813603582501463,0.23076923076923078,0.8978057035171046,0.2893509470521544,0.774940759077438,60,double_top_vs_random,WAT
593,186.0,0.8221531475848878,0.11794871794871795,0.9968734694013344,0.17223850936906712,0.8648133752745919,60,ma_crossover_vs_random,WAT
594,161.5,0.1303291888744547,0.4017857142857143,0.055883250332137126,-1.7576562432828837,0.09557513702927085,5,double_top_vs_ma_crossover,WBA
595,116.0,0.6646500994091875,0.3125,0.42629346134549484,-0.6426462526093452,0.5266700481479012,5,double_top_vs_random,WBA
596,315.0,0.027246091577518575,0.41964285714285715,0.04033899294057997,1.7217356674874125,0.09730554953016056,5,ma_crossover_vs_random,WBA
597,199.5,0.5581430376668504,0.19642857142857142,0.7549234684474432,-0.599090672667458,0.5542099785659159,20,double_top_vs_ma_crossover,WBA
598,127.0,0.984962430849159,0.25,0.7164116566837258,0.2760118981699726,0.7850437099865697,20,double_top_vs_random,WBA
599,272.0,0.24650455735840138,0.375,0.08757796831325382,1.255905037796907,0.21620461604712196,20,ma_crossover_vs_random,WBA
600,115.5,0.011975034542396344,0.47685185185185186,0.013782832331581047,-2.734991459940233,0.010375004243300769,60,double_top_vs_ma_crossover,WBA
601,85.0,0.10913953851878272,0.3125,0.42629346134549484,-1.8893388807680365,0.06872074596136528,60,double_top_vs_random,WBA
602,247.0,0.4434732299474724,0.2523148148148148,0.4630082979720637,0.7609838071219637,0.4520025971453939,60,ma_crossover_vs_random,WBA
603,258.5,0.9651033739371304,0.3125,0.23518507072843295,0.0787046118806578,0.9376215019462975,5,double_top_vs_ma_crossover,WBD
604,172.0,0.10089695624673158,0.5,0.03499797755837617,1.9664154444283999,0.06077057535763166,5,double_top_vs_random,WBD
605,326.5,0.12577615519793006,0.25,0.5005365176066469,1.8124688867096548,0.08000821609946854,5,ma_crossover_vs_random,WBD
606,242.5,0.7761210837570227,0.21875,0.6701962095002608,-0.5594692875316041,0.5794909065565498,20,double_top_vs_ma_crossover,WBD
607,107.0,0.43945199772703303,0.3125,0.42629346134549484,-0.282599192780182,0.7794258627412924,20,double_top_vs_random,WBD
608,248.5,0.8783215736028143,0.15625,0.9513836885799609,0.24221368929108752,0.8100933078608155,20,ma_crossover_vs_random,WBD
609,226.5,0.6372316097162981,0.2056451612903226,0.6727926568442785,0.12888780245980405,0.898641542423206,60,double_top_vs_ma_crossover,WBD
610,119.0,0.7485427111574399,0.3125,0.42629346134549484,0.631945894046858,0.5343304016233255,60,double_top_vs_random,WBD
611,258.5,0.8223580607870977,0.22782258064516128,0.5676661974463386,0.8581692910724029,0.3958052723606008,60,ma_crossover_vs_random,WBD
612,154.0,0.6471408223873585,0.2873900293255132,0.43292586210542877,0.08587096566728386,0.9326558094515316,5,double_top_vs_ma_crossover,WDAY
613,51.0,0.5544185685910488,0.2727272727272727,0.832587690946824,0.077650530868887,0.9389138655694094,5,double_top_vs_random,WDAY
614,154.0,0.6471541480741956,0.19648093841642228,0.8456753392898904,0.02035225388173544,0.9840580691248898,5,ma_crossover_vs_random,WDAY
615,163.0,0.841277016940378,0.2287390029325513,0.7026464932528513,0.06713616829469621,0.9472850437826998,20,double_top_vs_ma_crossover,WDAY
