Date,Close,High,Low,Open,Volume
,LMT,LMT,LMT,LMT,LMT
2015-06-26,143.39878845214844,144.85831671841183,143.2999624197667,144.83551249544675,1876300
2015-06-29,141.0270233154297,143.30753787021018,140.9434039844492,142.60057232659386,1202600
2015-06-30,141.31588745117188,142.75261122631662,140.88259569640627,142.28130857393714,1275200
2015-07-01,143.04147338867188,143.132690259209,141.39950012322257,141.39950012322257,950000
2015-07-02,142.3800811767578,143.51272894539807,141.96958219539434,143.45192545118198,1024500
2015-07-06,142.9046630859375,143.27713974593368,141.711188107726,141.94683944755167,902600
2015-07-07,144.5542449951172,144.64546188212861,142.56258736740898,143.3455748450199,1328500
2015-07-08,144.47061157226562,145.44363026991022,143.13270216353092,143.29994083962276,1528200
2015-07-09,146.05174255371094,146.8043048561468,145.35238622046856,145.77047123324596,1442100
2015-07-10,147.6177215576172,149.7538018499445,146.6142895004013,147.46568956087782,1638900
2015-07-13,150.42276000976562,150.81044335025024,148.69716722892983,148.99363368913527,1197200
2015-07-14,151.3121337890625,151.8974690701801,150.78761361760743,151.19810110870924,1059200
2015-07-15,151.58580017089844,151.76063636644847,150.55956401584692,151.4185615145301,972200
2015-07-16,153.26576232910156,153.4101967588792,151.7302243687079,151.88225633715436,975600
2015-07-17,152.93130493164062,153.2961956225305,152.33837205806608,152.7412620465386,997900
2015-07-20,155.93397521972656,156.13161562347628,152.8172675956441,153.7902861359897,2052000
2015-07-21,154.42886352539062,155.65274032579293,154.20082131356924,155.40949143341723,1767000
2015-07-22,154.15518188476562,155.4094718885323,153.55465147032987,154.56568101301553,1124200
2015-07-23,154.1856231689453,155.8047925583086,154.0411886939299,154.17041648754915,1175100
2015-07-24,152.8248748779297,154.2692077028334,152.551212671054,154.162784155676,1124800
2015-07-27,152.9237060546875,153.3722044757749,151.56300411294689,152.307968968229,997600
2015-07-28,154.79373168945312,155.62231586970213,153.0073239620383,153.87391903848066,1125300
2015-07-29,158.229736328125,159.9477318111884,155.3106797542028,155.66036384345898,2491000
2015-07-30,156.95263671875,158.49578419326332,156.5573442249968,157.52276543886967,1554700
2015-07-31,157.43153381347656,158.50336689146778,156.99823045909704,157.81921713110765,1116800
2015-08-03,157.9561004638672,158.10814411028244,156.6410064373472,157.56081946123217,1064200
2015-08-04,159.2787322998047,159.47637271260953,157.54554222044985,158.5033541276839,1066100
2015-08-05,159.20277404785156,160.20620638862636,158.92912333596874,159.65128422402879,1209900
2015-08-06,159.07347106933594,159.59039367922952,158.23728944643415,159.4307525734298,1147900
2015-08-07,158.94422912597656,159.17228285706003,157.52271237445112,158.8758164864399,997500
2015-08-10,160.22897338867188,160.8295154650273,159.1343243982556,159.66644221323617,978500
2015-08-11,158.7694091796875,159.45355884354163,158.03963948552007,158.91384361077345,985800
2015-08-12,158.70860290527344,159.11910200587002,157.16545570704878,157.76598608102978,917900
2015-08-13,159.47634887695312,160.17571675467997,158.6401673176363,158.6705690691791,1091200
2015-08-14,161.12599182128906,161.2172087096554,159.12673662306648,159.4460073316478,916000
2015-08-17,161.93173217773438,162.00774236627882,160.22134634498465,160.30496567189093,776300
2015-08-18,161.66574096679688,162.1750546986891,161.26285082665373,161.4300895564454,774500
2015-08-19,160.6090850830078,161.84816873703048,160.145379855373,161.12600790036646,1302600
2015-08-20,158.97467041015625,160.77627316361904,158.97467041015625,160.38098073356974,1405700
2015-08-21,155.5919647216797,158.7542823208515,155.50835695564209,158.5414351362247,2038500
2015-08-24,150.1034698486328,154.52006441818907,138.28280067582173,144.44018288080386,3308700
2015-08-25,151.25888061523438,156.22279822998678,150.93201252694433,156.21520069280334,2100600
2015-08-26,153.64585876464844,154.48964958755968,149.63976333991616,154.48964958755968,2933800
2015-08-27,156.1620330810547,157.3098995240254,154.24640916172757,155.01417823738112,1688100
2015-08-28,156.13906860351562,156.58321253877827,154.20935428638046,155.93232100964707,1391200
2015-08-31,154.05616760253906,155.63364891982667,153.97959832679234,155.61067696864126,1086800
2015-09-01,151.33004760742188,152.83860132608228,150.87059691751244,151.52148831603753,1673700
2015-09-02,156.24627685546875,156.3075392974175,152.60124919413846,152.9152148273948,1490600
2015-09-03,157.13458251953125,158.09945148364707,156.46071895106678,156.74404755310468,1350900
2015-09-04,155.1588592529297,156.4759722415249,154.23229278170294,155.86335964700865,1213100
2015-09-08,158.5205841064453,158.73499679772127,156.21564183292108,156.35347355533477,1320700
2015-09-09,156.72105407714844,160.22824992291424,156.61384772747945,160.04446260150345,1110300
2015-09-10,157.86203002929688,158.7349993390725,155.99357821606603,155.99357821606603,1370200
2015-09-11,158.36741638183594,158.48228782245644,157.2340906123208,157.6016535161555,1085500
2015-09-14,157.7471923828125,158.5359274099572,157.4102547625532,158.5359274099572,1034300
2015-09-15,159.1561737060547,159.692205450912,157.37194457454578,158.0381663074402,1253700
2015-09-16,158.9418487548828,159.4242834338992,157.9999630486042,159.00311122877554,927800
2015-09-17,158.97239685058594,161.21607673849186,158.61248732081154,159.16383759260995,958900
2015-09-18,155.68731689453125,157.77019376771145,155.18191036987295,157.74722180610146,3010600
2015-09-21,156.48373413085938,157.58642346145018,155.59544590364789,156.48373413085938,964700
2015-09-22,155.955322265625,156.19270696700335,154.30127109621577,155.03640884415924,1119200
